@relation datosFict1

@attribute age integer
@attribute c2 numeric
@attribute c3 numeric
@attribute selector1{0,1,2,3,4,5}
@attribute selector2{1,2}

@data
79, 133.55, 50.56, 2, 1
88, 130.56, 13.23, 5, 2
71, 167.12, 21.97, 3, 2
83, 70.62, 20.42, 5, 2
73, 131.41, 34.19, 3, 2
58, 121.07, 25.14, 4, 2
29, 129.03, 16.46, 5, 1
58, 166.01, 13.83, 3, 2
67, 161.77, 34.40, 2, 2
38, 95.30, 25.77, 2, 2
63, 119.54, 23.91, 2, 2
76, 138.10, 54.00, 3, 2
64, 148.10, 52.95, 1, 2
56, 151.30, 50.74, 2, 2
85, 159.64, 35.84, 3, 2
40, 143.18, 50.29, 0, 2
38, 165.46, 15.72, 2, 2
91, 64.55, 45.07, 5, 1
81, 81.83, 24.18, 2, 2
29, 185.51, 21.01, 2, 2
61, 111.45, 51.83, 1, 2
45, 208.46, 38.75, 4, 1
68, 172.36, 15.63, 0, 2
90, 118.92, 14.94, 0, 2
48, 153.75, 42.99, 4, 1
34, 145.48, 48.41, 3, 1
70, 159.45, 22.89, 4, 2
65, 93.88, 15.20, 1, 2
56, 169.99, 3.82, 4, 2
52, 130.85, 12.34, 3, 2
73, 104.11, 36.14, 4, 1
31, 65.82, 3.25, 4, 2
68, 114.49, 10.67, 4, 2
42, 155.13, 35.11, 0, 2
67, 145.37, 2.25, 2, 2
87, 88.71, 37.38, 1, 2
31, 170.58, 58.76, 3, 1
67, 159.61, 28.53, 1, 2
74, 117.72, 45.61, 0, 2
86, 116.92, 48.44, 1, 1
39, 123.44, 41.49, 4, 2
81, 160.58, 55.21, 3, 2
65, 157.64, 57.64, 4, 2
69, 122.75, 56.82, 3, 2
86, 169.19, 22.50, 5, 2
90, 91.48, 28.49, 0, 2
91, 123.18, 13.78, 0, 2
70, 141.10, 16.44, 2, 2
86, 125.47, 38.19, 4, 2
78, 165.09, 27.10, 3, 2
89, 119.24, 18.51, 2, 2
44, 91.28, 21.27, 3, 1
80, 183.57, 29.57, 2, 2
29, 130.41, 17.66, 3, 1
59, 158.63, 47.46, 1, 2
89, 153.69, 3.35, 4, 2
75, 133.03, 6.71, 3, 2
79, 130.37, 40.94, 2, 2
86, 159.70, 42.67, 3, 2
34, 84.59, 8.48, 1, 2
71, 118.41, 27.50, 4, 2
69, 140.59, 50.50, 5, 2
27, 156.69, 5.38, 0, 2
66, 190.70, 20.21, 2, 2
53, 124.47, 54.60, 2, 2
53, 107.02, 52.33, 3, 2
32, 181.87, 29.85, 4, 1
47, 197.48, 41.80, 5, 1
84, 184.86, 46.04, 2, 2
89, 111.45, 20.32, 0, 2
78, 147.94, 38.01, 0, 2
73, 144.56, 0.90, 2, 2
57, 141.75, 29.32, 2, 2
71, 134.93, 8.37, 2, 2
34, 116.19, 56.71, 3, 1
57, 120.63, 44.40, 2, 2
82, 114.19, 24.69, 3, 2
27, 159.82, 45.32, 0, 2
45, 188.12, 55.72, 1, 2
52, 63.32, 24.00, 1, 1
52, 102.83, 54.36, 3, 2
49, 199.30, 15.36, 2, 1
46, 115.77, 26.10, 2, 2
64, 207.82, 35.27, 3, 2
63, 76.37, 33.29, 4, 2
89, 103.26, 35.51, 1, 1
81, 114.32, 21.86, 4, 2
69, 157.72, 9.36, 3, 2
81, 163.23, 28.70, 3, 2
45, 122.79, 35.15, 5, 1
82, 144.37, 0.52, 3, 2
62, 92.13, 8.85, 5, 2
41, 102.13, 14.46, 5, 1
79, 106.76, 48.50, 1, 2
72, 215.88, 56.34, 4, 2
66, 98.65, 29.08, 0, 2
55, 148.32, 43.00, 3, 2
45, 122.57, 52.95, 2, 2
43, 92.11, 9.65, 3, 1
30, 191.45, 38.40, 4, 1
40, 146.91, 36.14, 2, 1
48, 128.04, 1.55, 2, 2
51, 143.38, 21.36, 3, 2
87, 126.42, 7.85, 4, 1
46, 139.77, 0.39, 0, 2
39, 162.31, 6.35, 4, 1
41, 140.32, 58.94, 0, 2
64, 168.04, 42.46, 0, 2
63, 115.64, 5.36, 3, 2
89, 87.08, 4.91, 5, 2
72, 148.07, 47.16, 0, 2
50, 181.32, 58.12, 1, 1
80, 101.82, 19.86, 4, 2
76, 94.48, 36.64, 4, 1
61, 160.72, 31.68, 0, 2
82, 87.19, 32.55, 2, 2
40, 153.24, 49.65, 4, 1
37, 131.79, 10.19, 1, 2
82, 180.80, 7.39, 3, 2
33, 110.31, 50.26, 4, 1
60, 104.39, 55.56, 1, 1
40, 110.61, 11.56, 3, 1
85, 116.46, 15.74, 3, 2
92, 106.55, 10.83, 1, 2
89, 177.43, 31.33, 4, 2
91, 112.12, 44.46, 2, 2
39, 179.16, 37.89, 2, 2
54, 185.68, 7.08, 1, 2
56, 190.36, 31.59, 2, 1
72, 145.17, 40.48, 2, 2
85, 142.34, 6.07, 3, 2
43, 187.40, 7.74, 1, 2
82, 139.72, 7.06, 2, 2
39, 59.09, 17.10, 3, 1
63, 178.05, 10.04, 1, 2
91, 150.84, 4.20, 3, 2
78, 127.43, 46.78, 2, 2
37, 124.47, 44.58, 3, 2
45, 156.15, 19.53, 2, 2
54, 153.26, 0.37, 4, 2
69, 109.30, 40.03, 1, 2
50, 107.11, 51.41, 3, 2
61, 88.48, 37.27, 4, 2
43, 111.28, 13.14, 1, 2
84, 116.36, 52.34, 2, 2
70, 113.19, 42.52, 1, 2
53, 134.65, 21.89, 1, 2
83, 51.49, 8.46, 5, 2
30, 141.84, 7.14, 0, 2
43, 150.17, 41.24, 2, 2
31, 158.86, 1.00, 2, 2
45, 167.46, 11.26, 5, 1
34, 153.90, 18.41, 4, 2
88, 91.64, 12.60, 2, 2
80, 87.92, 10.25, 4, 2
78, 155.33, 10.57, 5, 2
89, 168.92, 28.04, 1, 2
45, 94.32, 53.38, 2, 1
31, 100.78, 23.62, 5, 1
76, 205.29, 16.37, 2, 2
51, 83.36, 29.25, 0, 2
27, 66.98, 54.22, 1, 2
73, 163.16, 54.97, 3, 2
73, 129.87, 13.97, 4, 2
88, 109.13, 8.99, 4, 1
79, 115.19, 40.19, 4, 2
57, 133.80, 38.31, 2, 2
35, 150.07, 6.68, 4, 1
56, 178.08, 11.69, 2, 2
63, 165.25, 33.22, 4, 2
64, 128.59, 18.99, 1, 2
35, 140.96, 46.68, 0, 2
37, 109.80, 51.77, 4, 1
83, 135.30, 4.70, 0, 2
59, 103.93, 13.84, 3, 2
29, 172.66, 1.91, 0, 2
72, 135.05, 53.30, 4, 2
46, 90.15, 37.09, 5, 1
44, 164.46, 8.67, 1, 2
60, 128.09, 53.85, 4, 2
85, 120.75, 51.85, 4, 2
86, 159.93, 25.86, 4, 2
64, 159.30, 39.97, 2, 1
85, 83.68, 34.99, 0, 2
58, 151.35, 45.00, 4, 2
45, 146.73, 21.18, 4, 1
27, 104.58, 57.47, 0, 2
36, 180.82, 47.49, 4, 1
77, 159.68, 52.15, 0, 2
43, 223.12, 22.70, 5, 1
66, 171.23, 30.51, 1, 2
48, 113.28, 41.43, 3, 1
59, 127.83, 32.85, 2, 2
58, 77.03, 41.21, 3, 2
47, 152.21, 37.75, 1, 2
44, 189.31, 52.97, 0, 2
40, 104.08, 8.96, 5, 1
68, 144.66, 4.90, 0, 2
91, 111.80, 48.23, 1, 2
47, 101.90, 37.16, 4, 1
33, 157.59, 38.97, 5, 1
48, 108.64, 44.86, 4, 1
64, 27.94, 9.90, 5, 2
50, 126.96, 42.39, 1, 1
51, 133.14, 49.64, 0, 1
42, 199.06, 49.15, 4, 1
77, 152.25, 53.06, 3, 1
52, 114.19, 32.45, 2, 1
49, 123.84, 57.24, 1, 2
63, 124.36, 3.80, 1, 2
74, 178.36, 3.91, 2, 2
88, 77.22, 43.82, 5, 2
44, 139.65, 3.03, 4, 1
50, 137.30, 53.33, 3, 2
77, 114.86, 58.84, 1, 2
62, 117.45, 51.84, 2, 2
53, 139.48, 30.15, 0, 2
91, 123.46, 32.15, 2, 2
74, 151.32, 46.67, 2, 2
67, 196.36, 38.46, 0, 2
64, 119.70, 50.48, 4, 2
47, 144.72, 53.57, 2, 2
62, 173.16, 49.81, 1, 2
61, 123.39, 10.85, 3, 2
41, 117.17, 35.44, 2, 2
48, 60.20, 19.57, 4, 1
44, 102.54, 47.18, 4, 1
68, 62.03, 48.61, 3, 2
49, 121.86, 4.77, 0, 2
57, 182.12, 23.96, 4, 2
55, 179.43, 54.37, 4, 2
78, 139.48, 29.60, 1, 2
88, 183.29, 6.66, 3, 2
58, 88.05, 1.89, 3, 1
